text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,text_transformed,merged_lexicon,word
$(t),"Masekhet: 5330001, Page: 06, Side: c, Line: 53, Word: 9",of previous word,,,,,שעתא,of previous word,9
dysxy,"Masekhet: 5330001, Page: 06, Side: c, Line: 53, Word: 10",c,verb G,,,,דיסחי,conjunction | verb peal,10
wmtnyt),"Masekhet: 5330001, Page: 06, Side: d, Line: 06, Word: 0",noun sg. emphatic,c,,,,ומתניתא,noun sg. emphatic | conjunction,0
)mrh,"Masekhet: 5330001, Page: 06, Side: d, Line: 06, Word: 1",verb G,,,,,אמרה,verb peal,1
kN,"Masekhet: 5330001, Page: 06, Side: d, Line: 06, Word: 2",a01C,,,,,כן,a01C,2
khd),"Masekhet: 5330001, Page: 06, Side: d, Line: 20, Word: 0",P01,p02,,,,כהדא,preposition independent | preposition with pronominal suffix,0
r',"Masekhet: 5330001, Page: 06, Side: d, Line: 20, Word: 1",N,,,,,ר',noun,1
lyy),"Masekhet: 5330001, Page: 06, Side: d, Line: 20, Word: 2",PN Personal name,,,,,לייא,proper name Personal name,2
wxbry),"Masekhet: 5330001, Page: 06, Side: d, Line: 20, Word: 3",c,noun pl. emphatic,,,,וחבריא,conjunction | noun pl. emphatic,3
hww,"Masekhet: 5330001, Page: 06, Side: d, Line: 21, Word: 0",verb G,,,,,הוו,verb peal,0
"ytbyN/ytybyN#01,04#/","Masekhet: 5330001, Page: 06, Side: d, Line: 21, Word: 1",verb G,,,,,יתיבין/,verb peal,1
qwmy,"Masekhet: 5330001, Page: 06, Side: d, Line: 21, Word: 2",p01C,,,,,קומי,p01C,2
pwndqy),"Masekhet: 5330001, Page: 06, Side: d, Line: 21, Word: 3",noun sg. emphatic,,,,,פונדקיא,noun sg. emphatic,3
brm$)/brwm$)#01#/,"Masekhet: 5330001, Page: 06, Side: d, Line: 21, Word: 4",p02,p02,noun sg. emphatic,noun sg. emphatic,,ברומשא/,preposition with pronominal suffix | preposition with pronominal suffix | noun sg. emphatic | noun sg. emphatic,4
)mryN,"Masekhet: 5330001, Page: 06, Side: d, Line: 21, Word: 5",verb G,,,,,אמרין,verb peal,5
mhw,"Masekhet: 5330001, Page: 06, Side: d, Line: 21, Word: 6",P01C,,,,,מהו,P01C,6
mymr,"Masekhet: 5330001, Page: 06, Side: d, Line: 21, Word: 7",verb G,,,,,מימר,verb peal,7
mylyy)/mylh#01#/,"Masekhet: 5330001, Page: 06, Side: d, Line: 21, Word: 8",N,N,,,,מילה/,noun | noun,8
{d)wryt'}<d)wryyh>#04#,"Masekhet: 5330001, Page: 06, Side: d, Line: 21, Word: 9",N,p,,,,דאורייה,noun | preposition,9
)m',"Masekhet: 5330001, Page: 06, Side: d, Line: 21, Word: 10",verb G,,,,,אמ',verb peal,10
lwN,"Masekhet: 5330001, Page: 06, Side: d, Line: 21, Word: 11",p02,,,,,לון,preposition with pronominal suffix,11
mkywN,"Masekhet: 5330001, Page: 06, Side: d, Line: 22, Word: 0",c,,,,,מכיון,conjunction,0
d)ylw,"Masekhet: 5330001, Page: 06, Side: d, Line: 22, Word: 1",c,c,,,,דאילו,conjunction | conjunction,1
hwh,"Masekhet: 5330001, Page: 06, Side: d, Line: 22, Word: 2",verb G,,,,,הוה,verb peal,2
)ymm),"Masekhet: 5330001, Page: 06, Side: d, Line: 22, Word: 3",noun sg. emphatic,,,,,איממא,noun sg. emphatic,3
hwynN,"Masekhet: 5330001, Page: 06, Side: d, Line: 22, Word: 4",verb G,,,,,הוינן,verb peal,4
xmyyN,"Masekhet: 5330001, Page: 06, Side: d, Line: 22, Word: 5",verb G,,,,,חמיין,verb peal,5
mh,"Masekhet: 5330001, Page: 06, Side: d, Line: 22, Word: 6",P01,,,,,מה,preposition independent,6
qwmynN,"Masekhet: 5330001, Page: 06, Side: d, Line: 22, Word: 7",p02C,,,,,קומינן,p02C,7
brM,"Masekhet: 5330001, Page: 06, Side: d, Line: 22, Word: 8",c,,,,,ברם,conjunction,8
kdwN,"Masekhet: 5330001, Page: 06, Side: d, Line: 22, Word: 9",X,,,,,כדון,X,9
""")swr""","Masekhet: 5330001, Page: 06, Side: d, Line: 22, Word: 10",No data,,,,,אסור,No data,10
hwry,"Masekhet: 5330001, Page: 06, Side: d, Line: 28, Word: 0",verb C,,,,,הורי,verb (h)aphel,0
r',"Masekhet: 5330001, Page: 06, Side: d, Line: 28, Word: 1",N,,,,,ר',noun,1
xnyn),"Masekhet: 5330001, Page: 06, Side: d, Line: 28, Word: 2",PN Personal name,,,,,חנינא,proper name Personal name,2
trtyh,"Masekhet: 5330001, Page: 06, Side: d, Line: 28, Word: 3",A02,,,,,תרתיה,adjective singular determined,3
khd),"Masekhet: 5330001, Page: 06, Side: d, Line: 28, Word: 4",P01,p02,,,,כהדא,preposition independent | preposition with pronominal suffix,4
dr',"Masekhet: 5330001, Page: 06, Side: d, Line: 28, Word: 5",p,N,,,,דר',preposition | noun,5
$m(wN,"Masekhet: 5330001, Page: 06, Side: d, Line: 28, Word: 6",PN Personal name,,,,,שמעון,proper name Personal name,6
"""bN""","Masekhet: 5330001, Page: 06, Side: d, Line: 28, Word: 7",No data,,,,,בן,No data,7
)l(zr,"Masekhet: 5330001, Page: 06, Side: d, Line: 28, Word: 8",PN Personal name,,,,,אלעזר,proper name Personal name,8
r',"Masekhet: 5330001, Page: 06, Side: d, Line: 30, Word: 0",N,,,,,ר',noun,0
z(wr),"Masekhet: 5330001, Page: 06, Side: d, Line: 30, Word: 1",PN Personal name,,,,,זעורא,proper name Personal name,1
r',"Masekhet: 5330001, Page: 06, Side: d, Line: 30, Word: 2",N,,,,,ר',noun,2
y(qb,"Masekhet: 5330001, Page: 06, Side: d, Line: 30, Word: 3",PN Personal name,,,,,יעקב,proper name Personal name,3
br,"Masekhet: 5330001, Page: 06, Side: d, Line: 30, Word: 4",noun sg. abs. or construct,,,,,בר,noun sg. abs. or construct,4
zbdy,"Masekhet: 5330001, Page: 06, Side: d, Line: 30, Word: 5",PN Personal name,,,,,זבדי,proper name Personal name,5
\hww,"Masekhet: 5330001, Page: 06, Side: d, Line: 30, Word: 6",verb G,,,,,הוו,verb peal,6
ytbyN/hwwN,"Masekhet: 5330001, Page: 06, Side: d, Line: 30, Word: 7",verb G,verb G,,,,יתבין/הוון,verb peal | verb peal,7
ytybyN#01#/,"Masekhet: 5330001, Page: 06, Side: d, Line: 30, Word: 8",verb G,,,,,יתיבין/,verb peal,8
xmyN,"Masekhet: 5330001, Page: 06, Side: d, Line: 30, Word: 9",verb G,,,,,חמין,verb peal,9
cy)th,"Masekhet: 5330001, Page: 06, Side: d, Line: 30, Word: 10",N,,,,,ציאתה,noun,10
qM,"Masekhet: 5330001, Page: 06, Side: d, Line: 30, Word: 11",verb G,,,,,קם,verb peal,11
r',"Masekhet: 5330001, Page: 06, Side: d, Line: 30, Word: 12",N,,,,,ר',noun,12
y(qb,"Masekhet: 5330001, Page: 06, Side: d, Line: 30, Word: 13",PN Personal name,,,,,יעקב,proper name Personal name,13
br,"Masekhet: 5330001, Page: 06, Side: d, Line: 30, Word: 14",noun sg. abs. or construct,,,,,בר,noun sg. abs. or construct,14
{{)ydy}},"Masekhet: 5330001, Page: 06, Side: d, Line: 30, Word: 15",PN Personal name,,,,,אידי,proper name Personal name,15
^zbdy^,"Masekhet: 5330001, Page: 06, Side: d, Line: 30, Word: 16",PN Personal name,,,,,זבדי,proper name Personal name,16
rqq,"Masekhet: 5330001, Page: 06, Side: d, Line: 30, Word: 17",verb G,,,,,רקק,verb peal,17
(lh,"Masekhet: 5330001, Page: 06, Side: d, Line: 31, Word: 0",p02C,,,,,עלה,p02C,0
)m',"Masekhet: 5330001, Page: 06, Side: d, Line: 31, Word: 1",verb G,,,,,אמ',verb peal,1
lyh,"Masekhet: 5330001, Page: 06, Side: d, Line: 31, Word: 2",p01,,,,,ליה,preposition independent,2
r',"Masekhet: 5330001, Page: 06, Side: d, Line: 31, Word: 3",N,,,,,ר',noun,3
z(wr),"Masekhet: 5330001, Page: 06, Side: d, Line: 31, Word: 4",PN Personal name,,,,,זעורא,proper name Personal name,4
mN,"Masekhet: 5330001, Page: 06, Side: d, Line: 31, Word: 5",p01,,,,,מן,preposition independent,5
ym),"Masekhet: 5330001, Page: 06, Side: d, Line: 31, Word: 6",noun sg. emphatic,,,,,ימא,noun sg. emphatic,6
lTygn),"Masekhet: 5330001, Page: 06, Side: d, Line: 31, Word: 7",noun sg. emphatic,p03,,,,לטיגנא,noun sg. emphatic | preposition proclitic,7
hwry,"Masekhet: 5330001, Page: 06, Side: d, Line: 33, Word: 0",verb C,,,,,הורי,verb (h)aphel,0
r',"Masekhet: 5330001, Page: 06, Side: d, Line: 34, Word: 0",N,,,,,ר',noun,0
ys),"Masekhet: 5330001, Page: 06, Side: d, Line: 34, Word: 1",PN Personal name,,,,,יסא,proper name Personal name,1
{bmqwmyh}<mqmyh>#04#,"Masekhet: 5330001, Page: 06, Side: d, Line: 34, Word: 2",p02C,,,,,מקמיה,p02C,2
dr',"Masekhet: 5330001, Page: 06, Side: d, Line: 34, Word: 3",p,N,,,,דר',preposition | noun,3
$mw)l,"Masekhet: 5330001, Page: 06, Side: d, Line: 34, Word: 4",PN Personal name,,,,,שמואל,proper name Personal name,4
br,"Masekhet: 5330001, Page: 06, Side: d, Line: 34, Word: 5",noun sg. abs. or construct,,,,,בר,noun sg. abs. or construct,5
rb,"Masekhet: 5330001, Page: 06, Side: d, Line: 34, Word: 6",noun sg. abs. or construct,,,,,רב,noun sg. abs. or construct,6
ycxq,"Masekhet: 5330001, Page: 06, Side: d, Line: 34, Word: 7",PN Personal name,,,,,יצחק,proper name Personal name,7
khd),"Masekhet: 5330001, Page: 06, Side: d, Line: 34, Word: 8",P01,p02,,,,כהדא,preposition independent | preposition with pronominal suffix,8
dr',"Masekhet: 5330001, Page: 06, Side: d, Line: 34, Word: 9",p,N,,,,דר',preposition | noun,9
xwnh,"Masekhet: 5330001, Page: 06, Side: d, Line: 34, Word: 10",PN Personal name,,,,,חונה,proper name Personal name,10
"""wblbd""","Masekhet: 5330001, Page: 06, Side: d, Line: 43, Word: 0",No data,,,,,ובלבד,No data,0
dl),"Masekhet: 5330001, Page: 06, Side: d, Line: 43, Word: 1",c,a01,,,,דלא,conjunction | a01,1
y(byd,"Masekhet: 5330001, Page: 06, Side: d, Line: 44, Word: 0",verb G,,,,,יעביד,verb peal,0
khdyN,"Masekhet: 5330001, Page: 06, Side: d, Line: 44, Word: 1",R,p02,,,,כהדין,R | preposition with pronominal suffix,1
dyyqlr)/dyqlyryyh#!#/dqlyd)#!#/,"Masekhet: 5330001, Page: 06, Side: d, Line: 44, Word: 2",N,noun sg. emphatic,noun sg. emphatic,,,דיקלירייה/דקלידא/,noun | noun sg. emphatic | noun sg. emphatic,2
^kl,"Masekhet: 5330001, Page: 06, Side: d, Line: 48, Word: 0",noun sg. abs. or construct,,,,,כל,noun sg. abs. or construct,0
(m),"Masekhet: 5330001, Page: 06, Side: d, Line: 48, Word: 1",noun sg. emphatic,,,,,עמא,noun sg. emphatic,1
^mwdyy,"Masekhet: 5330001, Page: 06, Side: d, Line: 49, Word: 0",verb C,,,,,מודיי,verb (h)aphel,0
bhhyN^,"Masekhet: 5330001, Page: 06, Side: d, Line: 49, Word: 1",P01C,p02,,,,בההין,P01C | preposition with pronominal suffix,1
drqq,"Masekhet: 5330001, Page: 06, Side: d, Line: 49, Word: 2",c,verb G,,,,דרקק,conjunction | verb peal,2
)ycTlyN,"Masekhet: 5330001, Page: 06, Side: d, Line: 49, Word: 3",noun sg. abs. or construct,,,,,איצטלין,noun sg. abs. or construct,3
dhw),"Masekhet: 5330001, Page: 06, Side: d, Line: 49, Word: 4",c,P01C,,,,דהוא,conjunction | P01C,4
""")swr""","Masekhet: 5330001, Page: 06, Side: d, Line: 49, Word: 5",No data,,,,,אסור,No data,5
r',"Masekhet: 5330001, Page: 06, Side: d, Line: 50, Word: 0",N,,,,,ר',noun,0
ywnh,"Masekhet: 5330001, Page: 06, Side: d, Line: 50, Word: 1",PN Personal name,,,,,יונה,proper name Personal name,1
rqq,"Masekhet: 5330001, Page: 06, Side: d, Line: 50, Word: 2",verb G,,,,,רקק,verb peal,2
w$yyP,"Masekhet: 5330001, Page: 06, Side: d, Line: 50, Word: 3",verb G,c,,,,ושייף,verb peal | conjunction,3
mh,"Masekhet: 5330001, Page: 07, Side: a, Line: 03, Word: 0",P01,,,,,מה,preposition independent,0
npq,"Masekhet: 5330001, Page: 07, Side: a, Line: 03, Word: 1",verb G,,,,,נפק,verb peal,1
mbynyhwN,"Masekhet: 5330001, Page: 07, Side: a, Line: 03, Word: 2",p02,,,,,מביניהון,preposition with pronominal suffix,2
hwy,"Masekhet: 5330001, Page: 07, Side: a, Line: 04, Word: 0",verb G,,,,,הוי,verb peal,0
lyt,"Masekhet: 5330001, Page: 07, Side: a, Line: 04, Word: 1",verb G,,,,,לית,verb peal,1
T(myh,"Masekhet: 5330001, Page: 07, Side: a, Line: 04, Word: 2",noun sg. emphatic,,,,,טעמיה,noun sg. emphatic,2
dl),"Masekhet: 5330001, Page: 07, Side: a, Line: 04, Word: 3",c,,,,,דלא,conjunction,3
"""m$wM","Masekhet: 5330001, Page: 07, Side: a, Line: 04, Word: 4",No data,,,,,משום,No data,4
$)yN,"Masekhet: 5330001, Page: 07, Side: a, Line: 04, Word: 5",No data,,,,,שאין,No data,5
$M,"Masekhet: 5330001, Page: 07, Side: a, Line: 04, Word: 6",No data,,,,,שם,No data,6
lTwm)h,"Masekhet: 5330001, Page: 07, Side: a, Line: 04, Word: 7",No data,,,,,לטומאה,No data,7
qlh,"Masekhet: 5330001, Page: 07, Side: a, Line: 04, Word: 8",No data,,,,,קלה,No data,8
)cl,"Masekhet: 5330001, Page: 07, Side: a, Line: 04, Word: 9",No data,,,,,אצל,No data,9
"xmwrh""","Masekhet: 5330001, Page: 07, Side: a, Line: 04, Word: 10",No data,,,,,חמורה,No data,10
(d kdwN,"Masekhet: 5330001, Page: 07, Side: a, Line: 05, Word: 0",X,,,,,עד כדון,X,0
"""k$b)t","Masekhet: 5330001, Page: 07, Side: a, Line: 05, Word: 1",No data,,,,,כשבאת,No data,1
lw,"Masekhet: 5330001, Page: 07, Side: a, Line: 05, Word: 2",No data,,,,,לו,No data,2
Twm)h,"Masekhet: 5330001, Page: 07, Side: a, Line: 05, Word: 3",No data,,,,,טומאה,No data,3
qlh,"Masekhet: 5330001, Page: 07, Side: a, Line: 05, Word: 4",No data,,,,,קלה,No data,4
"bswP""","Masekhet: 5330001, Page: 07, Side: a, Line: 05, Word: 5",No data,,,,,בסוף,No data,5
n$m(ynh,"Masekhet: 5330001, Page: 07, Side: a, Line: 06, Word: 0",verb G,,,,,נשמעינה,verb peal,0
mN,"Masekhet: 5330001, Page: 07, Side: a, Line: 06, Word: 1",p01,,,,,מן,preposition independent,1
hd),"Masekhet: 5330001, Page: 07, Side: a, Line: 06, Word: 2",P01,,,,,הדא,preposition independent,2
hd),"Masekhet: 5330001, Page: 07, Side: a, Line: 07, Word: 0",P01,,,,,הדא,preposition independent,0
)mrh,"Masekhet: 5330001, Page: 07, Side: a, Line: 07, Word: 1",verb G,,,,,אמרה,verb peal,1
hy),"Masekhet: 5330001, Page: 07, Side: a, Line: 07, Word: 2",P01C,,,,,היא,P01C,2
hd),"Masekhet: 5330001, Page: 07, Side: a, Line: 07, Word: 3",P01,,,,,הדא,preposition independent,3
hy),"Masekhet: 5330001, Page: 07, Side: a, Line: 07, Word: 4",P01C,,,,,היא,P01C,4
)d)/hdh#01#/,"Masekhet: 5330001, Page: 07, Side: a, Line: 07, Word: 5",P01,,,,,הדה/,preposition independent,5
{d}xnN,"Masekhet: 5330001, Page: 07, Side: a, Line: 47, Word: 0",PN Personal name,,,,,חנן,proper name Personal name,0
br,"Masekhet: 5330001, Page: 07, Side: a, Line: 47, Word: 1",noun sg. abs. or construct,,,,,בר,noun sg. abs. or construct,1
ww),"Masekhet: 5330001, Page: 07, Side: a, Line: 47, Word: 2",PN Personal name,,,,,ווא,proper name Personal name,2
)m',"Masekhet: 5330001, Page: 07, Side: a, Line: 47, Word: 3",verb G,,,,,אמ',verb peal,3
lxbry),"Masekhet: 5330001, Page: 07, Side: a, Line: 47, Word: 4",p03,noun pl. emphatic,,,,לחבריא,preposition proclitic | noun pl. emphatic,4
nymr,"Masekhet: 5330001, Page: 07, Side: a, Line: 47, Word: 5",verb G,,,,,נימר,verb peal,5
lkwN,"Masekhet: 5330001, Page: 07, Side: a, Line: 47, Word: 6",p01,,,,,לכון,preposition independent,6
mylt),"Masekhet: 5330001, Page: 07, Side: a, Line: 48, Word: 0",N,,,,,מילתא,noun,0
Tbt),"Masekhet: 5330001, Page: 07, Side: a, Line: 48, Word: 1",A02,,,,,טבתא,adjective singular determined,1
dxmyt,"Masekhet: 5330001, Page: 07, Side: a, Line: 48, Word: 2",c,verb G,,,,דחמית,conjunction | verb peal,2
lrb,"Masekhet: 5330001, Page: 07, Side: a, Line: 48, Word: 3",p03,PN Personal name,,,,לרב,preposition proclitic | proper name Personal name,3
(byd,"Masekhet: 5330001, Page: 07, Side: a, Line: 48, Word: 4",verb G,,,,,עביד,verb peal,4
w)mrth,"Masekhet: 5330001, Page: 07, Side: a, Line: 48, Word: 5",verb G,c,,,,ואמרתה,verb peal | conjunction,5
qwmy,"Masekhet: 5330001, Page: 07, Side: a, Line: 48, Word: 6",p01C,,,,,קומי,p01C,6
$mw)l,"Masekhet: 5330001, Page: 07, Side: a, Line: 48, Word: 7",PN Personal name,,,,,שמואל,proper name Personal name,7
wqM,"Masekhet: 5330001, Page: 07, Side: a, Line: 48, Word: 8",verb G,c,,,,וקם,verb peal | conjunction,8
wn$q^y^,"Masekhet: 5330001, Page: 07, Side: a, Line: 48, Word: 9",verb D,c,,,,ונשקי,verb pael | conjunction,9
(l,"Masekhet: 5330001, Page: 07, Side: a, Line: 48, Word: 10",p01C,,,,,על,p01C,10
pwmy{h}#14#,"Masekhet: 5330001, Page: 07, Side: a, Line: 48, Word: 11",N,,,,,פומי,noun,11
wn),"Masekhet: 5330001, Page: 07, Side: a, Line: 49, Word: 0",P01C,c,,,,ונא,P01C | conjunction,0
)mryt,"Masekhet: 5330001, Page: 07, Side: a, Line: 49, Word: 1",verb G,,,,,אמרית,verb peal,1
T(m',"Masekhet: 5330001, Page: 07, Side: a, Line: 49, Word: 2",noun sg. emphatic,,,,,טעמ',noun sg. emphatic,2
l),"Masekhet: 5330001, Page: 07, Side: a, Line: 50, Word: 0",a01C,,,,,לא,a01C,0
mstbr),"Masekhet: 5330001, Page: 07, Side: a, Line: 50, Word: 1",verb Gt,,,,,מסתברא,verb ethpeel,1
dl),"Masekhet: 5330001, Page: 07, Side: a, Line: 50, Word: 2",c,a01,,,,דלא,conjunction | a01,2
)m',"Masekhet: 5330001, Page: 07, Side: a, Line: 50, Word: 3",verb G,,,,,אמ',verb peal,3
)l),"Masekhet: 5330001, Page: 07, Side: a, Line: 50, Word: 4",c,,,,,אלא,conjunction,4
"""mpny","Masekhet: 5330001, Page: 07, Side: a, Line: 50, Word: 5",No data,,,,,מפני,No data,5
$my,"Masekhet: 5330001, Page: 07, Side: a, Line: 50, Word: 6",No data,,,,,שמי,No data,6
nyxt,"Masekhet: 5330001, Page: 07, Side: a, Line: 50, Word: 7",No data,,,,,ניחת,No data,7
"hw)""","Masekhet: 5330001, Page: 07, Side: a, Line: 50, Word: 8",No data,,,,,הוא,No data,8
)m',"Masekhet: 5330001, Page: 07, Side: a, Line: 51, Word: 0",verb G,,,,,אמ',verb peal,0
r',"Masekhet: 5330001, Page: 07, Side: a, Line: 51, Word: 1",N,,,,,ר',noun,1
)byN,"Masekhet: 5330001, Page: 07, Side: a, Line: 51, Word: 2",PN Personal name,,,,,אבין,proper name Personal name,2
)ylw,"Masekhet: 5330001, Page: 07, Side: a, Line: 51, Word: 3",c,,,,,אילו,conjunction,3
hwh,"Masekhet: 5330001, Page: 07, Side: a, Line: 51, Word: 4",verb G,,,,,הוה,verb peal,4
kt',"Masekhet: 5330001, Page: 07, Side: a, Line: 51, Word: 5",verb G,,,,,כת',verb peal,5
"""b$my","Masekhet: 5330001, Page: 07, Side: a, Line: 51, Word: 6",No data,,,,,בשמי,No data,6
nyxt,"Masekhet: 5330001, Page: 07, Side: a, Line: 51, Word: 7",No data,,,,,ניחת,No data,7
"hw)""","Masekhet: 5330001, Page: 07, Side: a, Line: 51, Word: 8",No data,,,,,הוא,No data,8
hwh,"Masekhet: 5330001, Page: 07, Side: a, Line: 51, Word: 9",verb G,,,,,הוה,verb peal,9
y)wt,"Masekhet: 5330001, Page: 07, Side: a, Line: 51, Word: 10",a01C,,,,,יאות,a01C,10
lyt,"Masekhet: 5330001, Page: 07, Side: a, Line: 51, Word: 11",verb G,,,,,לית,verb peal,11
kt',"Masekhet: 5330001, Page: 07, Side: a, Line: 51, Word: 12",verb G,,,,,כת',verb peal,12
)l),"Masekhet: 5330001, Page: 07, Side: a, Line: 51, Word: 13",c,,,,,אלא,conjunction,13
r',"Masekhet: 5330001, Page: 07, Side: a, Line: 52, Word: 0",N,,,,,ר',noun,0
)b),"Masekhet: 5330001, Page: 07, Side: a, Line: 52, Word: 1",PN Personal name,,,,,אבא,proper name Personal name,1
br,"Masekhet: 5330001, Page: 07, Side: a, Line: 52, Word: 2",noun sg. abs. or construct,,,,,בר,noun sg. abs. or construct,2
zbd),"Masekhet: 5330001, Page: 07, Side: a, Line: 52, Word: 3",PN Personal name,,,,,זבדא,proper name Personal name,3
mcly,"Masekhet: 5330001, Page: 07, Side: a, Line: 52, Word: 4",verb D,,,,,מצלי,verb pael,4
bql),"Masekhet: 5330001, Page: 07, Side: a, Line: 52, Word: 5",p02,noun sg. emphatic,,,,בקלא,preposition with pronominal suffix | noun sg. emphatic,5
r',"Masekhet: 5330001, Page: 07, Side: a, Line: 53, Word: 0",N,,,,,ר',noun,0
ywnh,"Masekhet: 5330001, Page: 07, Side: a, Line: 53, Word: 1",PN Personal name,,,,,יונה,proper name Personal name,1
kd,"Masekhet: 5330001, Page: 07, Side: a, Line: 53, Word: 2",c,,,,,כד,conjunction,2
hwh,"Masekhet: 5330001, Page: 07, Side: a, Line: 53, Word: 3",verb G,,,,,הוה,verb peal,3
mcly,"Masekhet: 5330001, Page: 07, Side: a, Line: 53, Word: 4",verb D,,,,,מצלי,verb pael,4
bkny$t),"Masekhet: 5330001, Page: 07, Side: a, Line: 53, Word: 5",p02,noun sg. emphatic,,,,בכנישתא,preposition with pronominal suffix | noun sg. emphatic,5
hwh,"Masekhet: 5330001, Page: 07, Side: a, Line: 53, Word: 6",verb G,,,,,הוה,verb peal,6
mcly,"Masekhet: 5330001, Page: 07, Side: a, Line: 53, Word: 7",verb D,,,,,מצלי,verb pael,7
blxy$h/blx$h#!#/,"Masekhet: 5330001, Page: 07, Side: a, Line: 53, Word: 8",p02,p02,noun sg. emphatic,noun sg. emphatic,,בלחשה/,preposition with pronominal suffix | preposition with pronominal suffix | noun sg. emphatic | noun sg. emphatic,8
kd,"Masekhet: 5330001, Page: 07, Side: a, Line: 53, Word: 9",c,,,,,כד,conjunction,9
hwh,"Masekhet: 5330001, Page: 07, Side: a, Line: 53, Word: 10",verb G,,,,,הוה,verb peal,10
mcly,"Masekhet: 5330001, Page: 07, Side: a, Line: 53, Word: 11",verb D,,,,,מצלי,verb pael,11
bbyt),"Masekhet: 5330001, Page: 07, Side: a, Line: 53, Word: 12",p02,N,,,,בביתא,preposition with pronominal suffix | noun,12
hwh,"Masekhet: 5330001, Page: 07, Side: a, Line: 53, Word: 13",verb G,,,,,הוה,verb peal,13
mcly,"Masekhet: 5330001, Page: 07, Side: a, Line: 53, Word: 14",verb D,,,,,מצלי,verb pael,14
bql),"Masekhet: 5330001, Page: 07, Side: a, Line: 54, Word: 0",p02,noun sg. emphatic,,,,בקלא,preposition with pronominal suffix | noun sg. emphatic,0
(d,"Masekhet: 5330001, Page: 07, Side: a, Line: 54, Word: 1",c,,,,,עד,conjunction,1
dyylpwN,"Masekhet: 5330001, Page: 07, Side: a, Line: 54, Word: 2",c,V,,,,דיילפון,conjunction | V,2
bny byytyh,"Masekhet: 5330001, Page: 07, Side: a, Line: 54, Word: 3",N,,,,,בני בייתיה,noun,3
clwtyh,"Masekhet: 5330001, Page: 07, Side: a, Line: 54, Word: 4",noun sg. emphatic,,,,,צלותיה,noun sg. emphatic,4
mynyh,"Masekhet: 5330001, Page: 07, Side: a, Line: 54, Word: 5",p02C,,,,,מיניה,p02C,5
^)',"Masekhet: 5330001, Page: 07, Side: a, Line: 54, Word: 6",verb G,,,,,א',verb peal,6
r',"Masekhet: 5330001, Page: 07, Side: a, Line: 54, Word: 7",N,,,,,ר',noun,7
mn),"Masekhet: 5330001, Page: 07, Side: a, Line: 54, Word: 8",PN Personal name,,,,,מנא,proper name Personal name,8
wbny byt),"Masekhet: 5330001, Page: 07, Side: a, Line: 54, Word: 9",N,c,,,,ובני ביתא,noun | conjunction,9
d)b),"Masekhet: 5330001, Page: 07, Side: a, Line: 54, Word: 10",noun sg. emphatic,p,,,,דאבא,noun sg. emphatic | preposition,10
{ylp)}<ylpwN>#01#,"Masekhet: 5330001, Page: 07, Side: a, Line: 54, Word: 11",V,,,,,ילפון,V,11
clwt),"Masekhet: 5330001, Page: 07, Side: a, Line: 54, Word: 12",noun sg. emphatic,,,,,צלותא,noun sg. emphatic,12
mynyh,"Masekhet: 5330001, Page: 07, Side: a, Line: 54, Word: 13",p02C,,,,,מיניה,p02C,13
w)t,"Masekhet: 5330001, Page: 07, Side: b, Line: 11, Word: 0",R,c,,,,ואת,R | conjunction,0
dry$,"Masekhet: 5330001, Page: 07, Side: b, Line: 11, Word: 1",verb G,,,,,דריש,verb peal,1
"""bbwqr","Masekhet: 5330001, Page: 07, Side: b, Line: 11, Word: 2",No data,,,,,בבוקר,No data,2
"bbwqr""","Masekhet: 5330001, Page: 07, Side: b, Line: 11, Word: 3",No data,,,,,בבוקר,No data,3
b)rb(,"Masekhet: 5330001, Page: 07, Side: b, Line: 12, Word: 0",n01C,p02,,,,בארבע,n01C | preposition with pronominal suffix,0
$(yN,"Masekhet: 5330001, Page: 07, Side: b, Line: 12, Word: 1",noun pl. absolute,,,,,שעין,noun pl. absolute,1
$m$),"Masekhet: 5330001, Page: 07, Side: b, Line: 12, Word: 2",noun sg. emphatic,,,,,שמשא,noun sg. emphatic,2
xmyN,"Masekhet: 5330001, Page: 07, Side: b, Line: 12, Word: 3",A01,,,,,חמין,adjective singular absolute or construct,3
wTwl),"Masekhet: 5330001, Page: 07, Side: b, Line: 12, Word: 4",N,c,,,,וטולא,noun | conjunction,4
qryr,"Masekhet: 5330001, Page: 07, Side: b, Line: 12, Word: 5",A01,,,,,קריר,adjective singular absolute or construct,5
b$yt,"Masekhet: 5330001, Page: 07, Side: b, Line: 13, Word: 0",n01C,p02,,,,בשית,n01C | preposition with pronominal suffix,0
$(yN,"Masekhet: 5330001, Page: 07, Side: b, Line: 13, Word: 1",noun pl. absolute,,,,,שעין,noun pl. absolute,1
$m$),"Masekhet: 5330001, Page: 07, Side: b, Line: 13, Word: 2",noun sg. emphatic,,,,,שמשא,noun sg. emphatic,2
xmyN,"Masekhet: 5330001, Page: 07, Side: b, Line: 13, Word: 3",A01,,,,,חמין,adjective singular absolute or construct,3
wTwl),"Masekhet: 5330001, Page: 07, Side: b, Line: 13, Word: 4",N,c,,,,וטולא,noun | conjunction,4
xmyN,"Masekhet: 5330001, Page: 07, Side: b, Line: 13, Word: 5",A01,,,,,חמין,adjective singular absolute or construct,5
